Player,Pos,Squad,Age,Touches,Touches in Def Pen,Touches in Def 1/3,Touches in Mid 1/3,Touches in Att 1/3,Att Pen,Live ball touches
Moisés Caicedo,"MF,DF",Chelsea,22,69.3,2.55,15.1,42.2,12.8,0.4,69.3
Tom Cairney,MF,Fulham,33,97.6,1.71,17.6,49.6,31.9,2.57,97.6
Jens Cajuste,MF,Ipswich Town,24,46.7,2.8,13.1,24.3,9.95,0.69,46.7
Riccardo Calafiori,DF,Arsenal,22,59.9,2.75,15,24.2,21,2.75,59.9
Dominic Calvert-Lewin,FW,Everton,27,29.1,1.45,2.51,12,14.8,4.92,29.1
Diego Carlos,DF,Aston Villa,31,73.3,9.35,36,35.9,1.63,0.65,73.3
Fabio Carvalho,"FW,MF",Brentford,21,48.4,0.78,8.63,17.8,22.2,4.31,48.4
Casemiro,MF,Manchester Utd,32,75.3,4.52,22.5,38.1,15.1,2.59,75.3
Kaelan Casey,DF,West Ham United,19,1,1,1,0,0,0,1
Matty Cash,DF,Aston Villa,26,51.6,3.91,18.8,20.1,13.2,1.83,51.6
Eiran Cashin,DF,Brighton,22,160,10,50,100,10,0,160
Timothy Castagne,DF,Fulham,28,63.6,5.03,24.5,25.2,14.2,1.75,63.6
Trevoh Chalobah,DF,Crystal Palace,25,50.3,5.59,23.3,23.4,4.32,1.19,50.3
Trevoh Chalobah,DF,Chelsea,25,76.6,7.23,32.8,38.5,5.84,1.19,76.6
Conor Chaplin,"MF,FW",Ipswich Town,27,41.1,0.74,7.79,19.3,14.5,1.89,41.1
Youssef Chermiti,"FW,MF",Everton,20,30,0,0,12,18,6,30
Federico Chiesa,FW,Liverpool,26,38.3,1.67,8.33,12.5,17.5,3.33,38.3
Ben Chilwell,DF,Crystal Palace,27,60.3,3.45,21.7,26.2,14.5,1.03,60.3
Chiquinho,MF,Wolves,24,30,0,0,10,20,10,30
Hamza Choudhury,"MF,DF",Leicester City,26,66.7,2.67,12.7,40.7,13.3,2,66.7
Ryan Christie,MF,Bournemouth,29,58.6,3.15,10.9,32.9,15.8,1.96,58.6
Harry Clarke,DF,Ipswich Town,23,63.8,4.29,23.8,29,11.2,0.48,63.8
Jack Clarke,"FW,MF",Ipswich Town,23,42.2,1.83,9.54,17.5,16.4,2.9,42.2
Nathaniel Clyne,"DF,MF",Crystal Palace,33,50.6,3.33,20.6,23.1,6.85,0.56,50.6
Conor Coady,DF,Leicester City,31,63.7,12.3,36.3,26.5,1.05,0.42,63.7
Séamus Coleman,DF,Everton,35,50.4,5,17.5,22.5,10.8,1.25,50.4
Nathan Collins,DF,Brentford,23,64.1,10.1,33.6,26.4,4.45,1.82,64.1
Toby Collyer,MF,Manchester Utd,20,64.5,4.5,23,29.5,12.5,1.5,64.5
Levi Colwill,DF,Chelsea,21,83,10.9,38.9,40.5,4,1.03,83
Lewis Cook,"MF,DF",Bournemouth,27,57.4,2.63,13.3,30.5,14.2,0.6,57.4
Maxwel Cornet,FW,Southampton,27,42.5,1.25,10,17.5,16.3,2.5,42.5
Vladimír Coufal,DF,West Ham United,31,61.8,5.13,22,26.7,13.4,1.18,61.8
Woyo Coulibaly,DF,Leicester City,25,63.3,6.67,22.5,25.8,16.7,3.33,63.3
Aaron Cresswell,DF,West Ham United,34,74.7,4.89,29.3,35.7,10.2,0.22,74.7
Marc Cucurella,DF,Chelsea,26,67.6,3.58,20.4,31.5,16,2.26,67.6
Jorge Cuenca,DF,Fulham,24,54.9,9.74,34.4,19,1.79,0.26,54.9
Matheus Cunha,"MF,FW",Wolves,25,54,0.8,6.26,24,25.4,4.6,54
Patson Daka,"FW,MF",Leicester City,25,30.7,1.34,5.61,13.9,11.8,3.54,30.7
Diogo Dalot,DF,Manchester Utd,25,63.4,3.61,21.1,24.7,18.1,2.17,63.4
Mikkel Damsgaard,"MF,FW",Brentford,24,58.3,1.11,10.2,26.7,22.1,2.35,58.3
Danilo,"MF,FW",Nottingham Forest,23,48.4,2.58,17.4,27.4,4.19,0,48.4
Jayden Danns,MF,Liverpool,18,20,0,0,0,20,0,20
Kevin Danso,DF,Tottenham Hotspur,25,71.9,11.5,41.9,27.3,3.09,0.85,71.9
Ben Davies,DF,Tottenham Hotspur,31,80.1,14.5,43.4,33.4,3.24,0.88,80.1
Leif Davis,DF,Ipswich Town,24,51.2,3.84,17.5,17,17.3,1.38,51.2
Craig Dawson,DF,Wolves,34,62.1,12,36.7,23.1,2.59,1.3,62.1
Kevin De Bruyne,"MF,FW",Manchester City,33,72.4,0.53,3.97,24.1,45,4.18,72.4
Bobby De Cordova-Reid,FW,Leicester City,31,32.8,1.81,5.9,13.7,13.1,1.93,32.8
Liam Delap,FW,Ipswich Town,21,23.7,1.01,2.71,10.1,11.6,3.19,23.6
Sepp van den Berg,DF,Brentford,22,55.9,9.83,28.5,21.6,5.89,1.67,55.9
Justin Devenny,MF,Crystal Palace,20,49.8,1.43,9.46,26.6,14.8,1.43,49.8
Kiernan Dewsbury-Hall,"MF,FW",Chelsea,25,63.4,1.72,10.3,33.1,20,2.07,63.4
Amad Diallo,"MF,FW",Manchester Utd,22,57.2,0.76,8.29,21,28.8,6.21,57.2
Rúben Dias,DF,Manchester City,27,99.2,8.57,33.2,54,12.2,1.03,99.2
Luis Díaz,FW,Liverpool,27,44.3,0.64,3.37,15.3,26.4,6.25,44.3
Tyler Dibling,"FW,MF",Southampton,18,41.7,1.3,6.2,18.8,17.7,1.97,41.7
